"city_pair","passangers"
DUBAI-MUMBAI,5071922
DUBAI-DELHI,4177914
DUBAI-KOCHI,2354453
LONDON-DELHI,2195016
DUBAI-HYDERABAD,2135046
DUBAI-CHENNAI,2078982
LONDON-MUMBAI,1905765
ABUDHABI-MUMBAI,1734158
BANGKOK-DELHI,1710731
DUBAI-BENGALURU,1646533
COLOMBO-CHENNAI,1636585
SINGAPORE-MUMBAI,1633304
SINGAPORE-CHENNAI,1632173
BANGKOK-MUMBAI,1612542
SINGAPORE-DELHI,1473564
KATHMANDU-DELHI,1462959
DUBAI-TRIVANDRUM,1273666
HONG KONG-DELHI,1270458
BANGKOK-KOLKATA,1228602
ABUDHABI-DELHI,1193629
DUBAI-KOZHIKODE,1142794
ABUDHABI-KOCHI,1129458
KUALALUMPUR-TIRUCHIRAPALLY,1101283
MUSCAT-MUMBAI,1092205
DOHA-DELHI,1083472
SHARJAH-KOCHI,1081382
FRANKFURT-DELHI,979079
HONG KONG-MUMBAI,977461
DOHA-MUMBAI,970595
DOHA-KOCHI,949442
DUBAI-AHMEDABAD,890555
JEDDAH-MUMBAI,886231
KUALALUMPUR-DELHI,883943
DHAKA-KOLKATA,882399
ABUDHABI-KOZHIKODE,818478
SHARJAH-KOZHIKODE,806187
RIYADH-MUMBAI,797974
MUSCAT-KOCHI,797766
SHARJAH-TRIVANDRUM,793410
ABUDHABI-HYDERABAD,793305
